col1,col2
1442,-36.78
1443,-32.21
1444,-25.39
1445,-21.05
1446,-18.94
1447,-19.75
1448,-16.87
1449,-14.29
1450,-9.26
1451,-8.33
1452,-3.9
1453,-4.41
1454,-1.27
1455,-1.14
1456,0.77
1457,0.7
1458,1.53
1459,2.27
1460,2.05
1461,2.74
1462,3.37
1463,0.33
1464,3.9
1465,3.51
1466,4.06
1467,3.65
1468,5.09
1469,6.38
1470,10.24
1471,11.02
1472,12.61
1473,8.65
1474,8.69
1475,7.82
1476,8.84
1477,7.05
1478,7.25
1479,3.82
1480,4.34
1481,4.81
1482,7.93
1483,7.13
1484,4.62
1485,1.46
1486,1.31
1487,2.08
1488,3.67
1489,2.41
1490,0.37
1491,-1.47
1492,-1.32
1493,-2.99
1494,-0.89
1495,-1.7
1496,-3.33
1497,-4.8
1498,-4.32
1499,-7.49
1500,-6.74
1501,-6.07
1502,-4.56
1503,-4.1
1504,-3.69
1505,-2.42
1506,-0.38
1507,-1.24
1508,-3.82
1509,-5.24
1510,-7.41
1511,-5.77
1512,-1.59
1513,1.26
1514,2.04
1515,2.73
1516,1.56
1517,0.51
1518,3.15
1519,2.84
1520,-1.04
1521,-2.74
1522,-0.67
1523,-1.5
1524,3.15
1525,2.84
1526,3.45
1527,4.01
1528,0.91
1529,-0.08
1530,-3.68
1531,-4.21
1532,-4.69
1533,-2.42
1534,-0.38
1535,-0.34
1536,-3.01
1537,-2.7
1538,-2.43
1539,-1.29
1540,0.64
1541,0.57
1542,-1.28
1543,-2.95
1544,-0.86
1545,1.03
1546,-0.88
1547,1.01
1548,-3.59
1549,-1.43
1550,-0.39
1551,5.05
1552,2.75
1553,5.17
1554,-0.75
1555,-1.57
1556,1.29
1557,2.06
1558,3.65
1559,5.09
1560,3.68
1561,5.11
1562,5.5
1563,7.65
1564,8.68
1565,12.32
1566,10.18
1567,13.67
1568,12.3
1569,14.67
1570,16.8
1571,16.92
1572,13.43
1573,13.89
1574,10.7
1575,8.73
1576,5.16
1577,1.94
1578,-2.75
1579,-6.08
1580,-10.87
1581,-10.68
1582,-14.12
1583,-13.6
1584,-14.04
1585,-9.94
1586,-9.85
1587,-7.06
1588,-10.85
1589,-9.77
1590,-10.59
1591,-7.73
1592,-5.16
1593,-3.74
1594,-3.37
1595,-2.13
1596,-8.22
1597,-10.1
1598,-14.49
1599,-11.24
1600,-4.71
1601,11.96
1602,35.06
1603,66.65
1604,108.59
1605,143.63
1606,153.57
1607,139.11
1608,98.2
1609,50.58
1610,12.22
1611,-15.1
1612,-32.49
1613,-41.84
1614,-49.36
1615,-54.32
1616,-57.89
1617,-58.4
1618,-57.96
1619,-54.86
1620,-50.28
1621,-44.35
1622,-44.42
1623,-41.77
1624,-38.5
1625,-30.15
1626,-24.43
1627,-17.49
1628,-17.54
1629,-15.79
1630,-12.41
1631,-9.37
1632,-8.43
1633,-9.39
1634,-10.25
1635,-9.22
1636,-8.3
1637,-5.67
1638,-5.1
1639,-0.99
